session_id,round,decision_index,stage,current_player,state,legal_actions,chosen_action,reward,done
20250401144425,1,1,first,0,"{'round': 1, 'stage': 'first', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'J', 'pot': 4, 'chips': '8;9;9', 'betting_history': 'bet', 'highest_bet': 1, 'last_bettor': 0}","[0, 1]",1,5,True
20250401144426,1,2,first,1,"{'round': 1, 'stage': 'first', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'J', 'pot': 5, 'chips': '8;8;9', 'betting_history': 'bet,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-3,True
20250401144427,1,3,first,2,"{'round': 1, 'stage': 'first', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'J', 'pot': 6, 'chips': '8;8;8', 'betting_history': 'bet,call,call', 'highest_bet': 1, 'last_bettor': 0}","[2, 3, 4]",2,-2,True
20250401144428,1,1,second,0,"{'round': 1, 'stage': 'second', 'current_player': 0, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'J', 'pot': 7, 'chips': '7;8;8', 'betting_history': 'bet', 'highest_bet': 2, 'last_bettor': 0}","[0, 1]",1,5,True
20250401144429,1,2,second,1,"{'round': 1, 'stage': 'second', 'current_player': 1, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'J', 'pot': 8, 'chips': '7;7;8', 'betting_history': 'bet,call', 'highest_bet': 2, 'last_bettor': 0}","[2, 3, 4]",2,-3,True
20250401144430,1,3,second,2,"{'round': 1, 'stage': 'second', 'current_player': 2, 'player0_card': 'A', 'player1_card': 'Q', 'player2_card': 'J', 'pot': 8, 'chips': '7;7;8', 'betting_history': 'bet,call,fold', 'highest_bet': 2, 'last_bettor': 0}","[2, 3, 4]",3,-2,True
20250401144432,2,0,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '14;6;7', 'betting_history': 'check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,False
20250401144433,2,1,first,1,"{'round': 2, 'stage': 'first', 'current_player': 1, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': 'A', 'pot': 3, 'chips': '14;6;7', 'betting_history': 'check,check', 'highest_bet': 0, 'last_bettor': -1}","[0, 1]",0,-1,False
20250401144434,2,1,first,2,"{'round': 2, 'stage': 'first', 'current_player': 2, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': 'A', 'pot': 4, 'chips': '14;6;6', 'betting_history': 'check,check,bet', 'highest_bet': 1, 'last_bettor': 2}","[0, 1]",1,2,True
20250401144435,2,2,first,0,"{'round': 2, 'stage': 'first', 'current_player': 0, 'player0_card': 'Q', 'player1_card': 'J', 'player2_card': 'A', 'pot': 4, 'chips': '14;6;6', 'betting_history': 'check,check,bet,fold', 'highest_bet': 1, 'last_bettor': 2}","[2, 3, 4]",3,-1,True
